Proposition,Nom d&apos;auteur,Âge,Département,Nb de votes,% pour,% contre,% neutre,theme,cluster_id
Il faut interdire la chasse sur tout le territoire français au moins une semaine sur deux entre août et mars.,Johan,66.0,46.0,346,0.431,0.463,0.106,Animal Welfare,0
Il faut interdire la chasse à courre,Edwige,23.0,62.0,350,0.52,0.37,0.11,Animal Welfare,0
Il faut tripler le prix du permis de chasse,isabelle,59.0,,356,0.478,0.361,0.161,Animal Welfare,0
Il faut interdire la chasse dans toute la France.,Camille,16.0,86.0,550,0.553,0.344,0.103,Animal Welfare,0
"Il faut interdire la chasse, danger pour animaux et humains dans les forets; ils n&apos;ont qu&apos;à jouer entre eux comme en allemagne",Chantal,,,340,0.505,0.355,0.14,Animal Welfare,0
"Il faut interdire la chasse partout, il faut protéger et aider les animaux devenus vulnérables à cause des humains.",Evelyne,68.0,,336,0.541,0.329,0.13,Animal Welfare,0
"Il faut arrêter de tuer les animaux (chasse, abattoirs, maltraitance, etc.) et réapprendre à vivre en bonne intelligence avec nos compagnons",Clarisse,44.0,,316,0.398,0.437,0.165,Animal Welfare,0
Il faut limiter voire supprimer la viande de notre alimentation.,Dominique,,,324,0.447,0.398,0.154,Sustainable Agriculture,14
Il faut interdire la chasse. Le seul nuisible sur terre est l&apos;Homme. La terre se portait très bien avant nous qui sur exploitons tout,Antony,43.0,,341,0.469,0.359,0.172,Conservation of Biodiversity,5
"Il faut, si la chasse devait continuer, faire un permis annuel et non à vie et beaucoup plus strict",avie,60.0,,339,0.56,0.372,0.068,Animal Welfare,0
"Il faut écouter ceux qui connaissent le mieux la nature , c&apos;est à dire les agriculteurs , les chasseurs et non les bobos écolos ...",Éric,,,390,0.376,0.509,0.115,Sustainable Agriculture,14
Il faut destygmatiser le rôle des chasseurs pour l&apos;entretien et l&apos;aménagement des territoires.,Nawel,46.0,,356,0.412,0.405,0.184,Pesticide Reduction,11
Il faut laisser aux associations de protection des animaux la décision de réguler si il n&apos;y a pas d&apos;autres solutions.Stop chasses.,Karine,52.0,29.0,326,0.503,0.376,0.121,Animal Welfare,0
Il faut interdire la chasse.,Sylviane,56.0,13.0,310,0.474,0.35,0.176,Animal Welfare,0
"Il faut interdire le chasse : 22M de tués/an, 68% de faune disparue, 40% de chassables en voie de disparition, 1500 élevages de gibiers",Vincent,30.0,,344,0.514,0.335,0.151,Environmental Protection,8
Il faut rendre toutes les forêts publiques et réguler leur exploitation industrielle,Florian,44.0,,322,0.477,0.368,0.155,Biomass and Forest Management,2
Il faut préserver la chasse : elle est d&apos;utilité publique et génère des emplois,Eric,,,404,0.366,0.548,0.086,Environmental Protection,8
Il faut encourager la chasse de certaines espèces ( grand gibier) afin de limiter les dégâts agricoles et forestiers.,Cedric,,,360,0.402,0.483,0.115,Animal Welfare,0
Il faut complètement supprimer l&apos;idée d&apos;ESOD (espèces susceptibles d&apos;occasionner des dégâts) et protéger ces acteurs de la biodiversité.,Clarisse,44.0,,342,0.558,0.331,0.111,Conservation of Biodiversity,5
"Il faut arrêter la chasse aux gibiers d&apos;eau qui démarre le 1er dimanche d&apos;aout, arrêter le déterrage des renards et blaireaux",Marcel,,,338,0.572,0.334,0.094,Animal Welfare,0
"Il faut préserver notre faune en interdisant la chasse d&apos;été, la chasse pendant les vacances scolaires, week-ends, mercredis, jours fériés.",Michel,53.0,39.0,393,0.582,0.333,0.085,Animal Welfare,0
Il faut soumettre toute coupe d&apos;arbre à obligation de la justifier et à autorisation par un ministère de la biodiversité,Agnès,62.0,,316,0.471,0.392,0.137,Biomass and Forest Management,2
"Il faut ne pas systématiquement critiquer l&apos;action humaine,les chasseurs,la mécanisation les produits chimiques. On n&apos;est plus au moyen âge!",E,58.0,,350,0.394,0.473,0.134,Environmental Protection,8
Il faut interdire l’entrée dans les réserves naturelles des chasseurs même pour récupérer une proie avec de vraies peines dissuasives,Amélie,41.0,,336,0.565,0.337,0.099,Protected Areas and Nature Reserves,12
"Il faut arrêter de faire de la ""régulation"" des espèces susceptibles d&apos;occasionner des dégâts car la science a prouvé que c&apos;est inutile.",Ondine,68.0,,334,0.497,0.345,0.158,Conservation of Biodiversity,5
Il faut arrêter de chasser tous les ans ! Laisser faire la nature et réguler tous les 5 ou 7 ans ! Voilà la vraie solution.,Vinsz,56.0,11.0,334,0.498,0.348,0.154,Animal Welfare,0
"Il faut éduquer les enfants à respecter les animaux par l&apos;exemple: interdire le ramassage de crabes etc,ne pas aller au zoo, ne pas chasser.",J,,,322,0.467,0.371,0.163,Environmental Protection,8
Il faut systématiquement interdite la chasse.,Pascal,66.0,14.0,334,0.37,0.47,0.16,Animal Welfare,0
Il faut retirer les chasseurs des commissions consultatives départementales de la chasse et de la biodiversité car ils y sont surreprésentés,Pascale,67.0,61.0,324,0.527,0.327,0.147,Conservation of Biodiversity,5
"Il faut arrêter de tondre, d&apos;élaguer, de tailler les arbustes pour que la nature s&apos;exprime car elle n&apos;est ni carrée, ni rectangulaire.",Christiane,64.0,,310,0.423,0.38,0.198,Environmental Protection,8
"Il faut interdire aux citadins, qui ne connaissent rien à la nature, de donner leur opinion sur l&apos;environnement!",Benjamin,,,370,0.364,0.526,0.11,Citizen Engagement and Education,3
Il faut mettre fin à la chasse et confier la régulation à un corps pluridisciplinaire : gardes forestiers et vétérinaires à minima.,Super,60.0,,333,0.572,0.305,0.122,Animal Welfare,0
Il faut protéger la population animale et interdire la chasse,Alain,63.0,38.0,332,0.59,0.317,0.093,Animal Welfare,0
Il faut que l&apos;argent qui va aux chasseurs parte dans des projets de re-naturalisation.,lou,38.0,56.0,328,0.546,0.322,0.131,Ecosystem Restoration,6
Il faut arrêter l’écologie punitive qui ne sert à rien. Il faut être civilisé mais il ne faut pas tomber dans l’excès écologique actuel.,Frank,39.0,58.0,338,0.452,0.353,0.195,Environmental Protection,8
Il faut mieux réguler le développement du loup qui décourage les éleveurs,Michel,65.0,2.0,347,0.418,0.411,0.171,Animal Welfare,0
Il faut par solidarité avec les éleveurs réguler le loup.,Michel,65.0,2.0,364,0.384,0.494,0.122,Animal Welfare,0
Il faut interdire l&apos;élevage d&apos;animaux pour la chasse et leur relâchage dans la nature ainsi que l&apos;agrainage du gibier.,Ondine,68.0,,342,0.573,0.335,0.093,Environmental Protection,8
Il faut en finir avec l&apos;écologie punitive sous toutes ses formes,Bernard,74.0,54.0,340,0.461,0.368,0.171,Environmental Protection,8
Il faut drastiquement limiter la consommation de la viande et des produits laitiers,Agata,36.0,,318,0.462,0.392,0.146,Animal Welfare,0
Il faut interdire la chasse,Sandrine,58.0,78.0,306,0.415,0.343,0.242,Animal Welfare,0
"Il faut interdire la chasse sous toutes ses formes, afin de protéger la biodiversité et les équilibres",Sylviane,56.0,13.0,316,0.456,0.34,0.203,Conservation of Biodiversity,5
"Il faut confier l&apos;écologie à de vrais professionnels de l&apos;écologie (chercheurs, écologues, ...) et non pas à n&apos;importe qui (fédé chasse ...)",Yann,,,316,0.575,0.316,0.108,Sustainable Agriculture,14
Il faut imposer des plats végétariens systématiquement dans toutes les cantines et restaurants,Lantana75,63.0,,318,0.445,0.402,0.153,Environmental Protection,8
"Il faut arrêter la chasse telle qu&apos;elle est aujourd&apos;hui: loisir, amusements, barbarie; il faut que ça cesse; il y a des solutions!",Nathalie,,,331,0.593,0.323,0.083,Animal Welfare,0
Il faut limiter les chats en extérieur à 20 mètres des habitations maximum car ils sont  néfaste pour la biodiversité et le vivant !,Damien,38.0,,311,0.419,0.391,0.19,Conservation of Biodiversity,5
Il faut inciter les familles à se limiter à 2 enfants par couples,Michel,65.0,2.0,308,0.403,0.393,0.204,Environmental Protection,8
Il faut  protéger de la chasse loisir les animaux sauvages de la forêt. Abolir la chasse loisir et après on pourra discuter de régulation.,Iona,22.0,72.0,330,0.596,0.301,0.103,Animal Welfare,0
"Il faut maintenir une chasse de régulation et de consommation éthique de la viande, continuer les agrainages dissuasifs pour les cultures",patrick,68.0,63.0,331,0.478,0.35,0.173,Animal Welfare,0
Il faut surtaxer les produits néfastes pour l&apos;environnement ou le bien-être animal. Et interdire les promotions sur la viande.,Aurore,,,310,0.469,0.39,0.141,Environmental Protection,8
Il faut limiter la capacité de nuisance des associations politicos écolos en supprimant les subventions.,Jean Louis,78.0,56.0,362,0.364,0.465,0.171,Environmental Protection,8
Il faut interdire l&apos;élevage de gibiers pour la chasse,Florence,58.0,78.0,330,0.542,0.337,0.121,Animal Welfare,0
"Il faut faire de la chasse une profession et interdire la chasse ""loisir""",Alice,36.0,,307,0.383,0.381,0.237,Animal Welfare,0
Il faut que la chasse soit réservée aux policiers OFB uniquement et sous validation des quotas espèces par scientifiques de la biodiversité,Amélie,41.0,,316,0.401,0.475,0.124,Conservation of Biodiversity,5
"Il faut protéger (aucun abattage) les grands prédateurs (loup, ours, lynx) car ils sont indispensables au bon fonctionnement des écosystèmes",Ondine,68.0,,344,0.574,0.301,0.125,Animal Welfare,0
Il faut interdire le transport d&apos;animaux vivants.,Clarisse,44.0,,306,0.355,0.419,0.226,Environmental Protection,8
Il faut enseigner l&apos;éthique animale aux enfants dès l&apos;école primaire et faire partout la promotion de l&apos;alimentation végétale.,Meryl,47.0,,316,0.554,0.338,0.109,Animal Welfare,0
"Il faut réserver la chasse aux institutions d&apos;Etat (ONF,OFB), améliorer les aides pour l&apos;acquisition de dispositifs de protection des bêtes.",Françoise,77.0,88.0,324,0.378,0.449,0.174,Animal Welfare,0
Il faut interdire le nourrissage et la chasse.,Blandine,30.0,,326,0.511,0.333,0.157,Animal Welfare,0
Il faut expliquer aux enfants que la nature ne se régule pas seule. L&apos;intervention des chasseurs et des agriculteurs est nécessaire.,Hervé,62.0,33.0,359,0.388,0.525,0.088,Animal Welfare,0
Il faut que la chasse devienne une profession pour que son rôle de régulation soit fait correctement. Ça ne doit plus être un loisir.,Magalie,40.0,,317,0.434,0.363,0.203,Environmental Protection,8
Il faut arrêter la chasse et le déterrage des blaireaux,elisabeth,58.0,,327,0.561,0.314,0.125,Animal Welfare,0
"Il faut limiter la chasse à seulement un jour par semaine, week-ends non inclus.",Jean,76.0,79.0,318,0.537,0.336,0.127,Animal Welfare,0
Il faut un moratoire sur la chasse et la pêche et ramener la paix dans nos campagnes puis juger du résultat.,Michel,53.0,39.0,374,0.573,0.305,0.121,Animal Welfare,0
"Il faut interdire la vente d&apos;animaux domestiques : chiens, chats, etc. ",Alice,,,303,0.397,0.374,0.228,Animal Welfare,0
"Il faut arrêter de tuer des loups, trouver des solutions de cohabitation, et ne pas laisser les ovins et les caprins prendre tout l&apos;espace",lou,38.0,56.0,342,0.572,0.312,0.116,Animal Welfare,0
"Il faut maîtriser les nuisibles qui déséquilibrent la biodiversité (corbeaux, pies, chats domestiques, plantes invasives).",Jean-Marc,64.0,33.0,336,0.428,0.409,0.163,Conservation of Biodiversity,5
"Il faut INTERDIRE la chasse partout, la CORRIDA et les sacrifices d&apos;animaux. il faut arrêter de manger des animaux",clémentine,40.0,,302,0.364,0.341,0.295,Animal Welfare,0
Il faut arrêter la consommation de certains aliments surtout la viande et nous diriger vers des régimes plus en accord avec la nature.,Rosemary,,,314,0.423,0.386,0.19,Environmental Protection,8
"Il faut augmenter fortement le prix de l&apos;eau potable, au dessus d&apos;un volume de référence (boisson, toilette, lessives) par famille.",Fred,57.0,78.0,304,0.44,0.418,0.142,Water Conservation,19
Il faut laisser les chasseurs et donc la FNC gérer les territoires de chasse qui sont un bel exemple de la gestion de la biodiversité,Jerome,,,372,0.364,0.563,0.073,Environmental Protection,8
Il faut interdire l&apos;abattage de tous les arbres de plus de 10 ans!,Patricia,62.0,12.0,310,0.42,0.355,0.225,Environmental Protection,8
"Il faut s&apos;intéresser à la biodiversité dans le monde urbain, où elle manque, et pas dans le monde rural où elle n&apos;en a pas besoin",Benjamin,,,331,0.406,0.417,0.177,Environmental Protection,8
Il faut interdire la participation des chasseurs aux instances décisionnelles,Estelle,52.0,,313,0.475,0.337,0.188,Animal Welfare,0
Il faut interdire definitivement la barbarie de la vénerie sous terre,marie,53.0,,316,0.522,0.322,0.156,Animal Welfare,0
"Il faut organiser une chasse plus responsable, plus comme une activité de substitution pour se nourrir, plutôt qu&apos;un sport comme aujourd&apos;hui",Raph,18.0,,314,0.457,0.39,0.153,Animal Welfare,0
Il faut nationaliser l&apos;agriculture en France afin d&apos;avoir une culture qualitative et non financière,Michel,55.0,,306,0.39,0.376,0.234,Environmental Protection,8
"Il faut arrêter de donner l&apos;agrément ""protection de l&apos;environnement"", qui reconnaît les actions des assos, aux fédérations de chasse",Alicia,33.0,50.0,331,0.536,0.298,0.165,Environmental Protection,8
"Il faut interdire la vènerie (grande et sous-terre), elle n&apos;a aucune justification et cause d&apos;atroces souffrances aux animaux.",Ondine,68.0,,326,0.565,0.295,0.14,Animal Welfare,0
"Il faut réduire drastiquement la consommation de viande et de produits animaux, terriblement coûteuse écologiquement et polluante",Isa,56.0,14.0,315,0.55,0.329,0.122,Animal Welfare,0
Il faut éduquer les professionnels et les jeunes à l&apos;alimentation végétarienne/ végane,Ambre,31.0,,306,0.383,0.402,0.215,Environmental Protection,8
Il faut proposer des menus végétariens dans toutes les écoles.,Jenn,,,318,0.529,0.311,0.16,Environmental Protection,8
Il faut développer la gastronomie végétarienne,Lantana75,63.0,,304,0.438,0.322,0.24,Sustainable Agriculture,14
Il faut limiter la démographie humaine en cessant d&apos;encourager les naissances et en récompensant les couples n&apos;ayant qu&apos;un enfant(ou 0).,Alexandrine,51.0,38.0,313,0.364,0.396,0.24,Environmental Protection,8
"Il faut réduire la population humaine mondiale, la seule qui a explosé alors que les autres se sont effondrées.&#10;Suppression des allocations",olivier,53.0,78.0,306,0.398,0.42,0.182,Environmental Protection,8
"Il faut plus de réserves intégrales interdites à l’homme en montagne, forêt, bord de mer, lacs et landes.",Vero,60.0,,310,0.54,0.312,0.148,Protected Areas and Nature Reserves,12
Il faut interdire les publicités en faveur de la consommation de viande ou de poisson qui sont une cause du changement climatique,Lantana75,63.0,,311,0.46,0.368,0.171,Climate Change Mitigation,4
"Il faut limiter le pouvoir de nuisances des assos dites écologiques, qui sont surtout pour leur petit pré carré sans penser au bien commun.",Paul,65.0,34.0,325,0.409,0.343,0.248,Citizen Engagement and Education,3
Il faut Mettre un frein à la prolifération humaine qui est une espèce nuisible et invasive !!!,Peter,55.0,,304,0.425,0.361,0.215,Climate Change Mitigation,4
Il faut une taxe/habitant reversée pour la protection de la biodiversité (ex 1€/pers = 67 Millions d&apos;euros pour agir),fab,24.0,,304,0.5,0.353,0.147,Conservation of Biodiversity,5
Il faut classer l&apos;humain comme nuisible ! ,marc,70.0,,304,0.352,0.404,0.244,Environmental Protection,8
Il faut arrêter d&apos;imposer de nouvelles règles aux communes et aux agriculteurs,Benjamin,,,350,0.351,0.482,0.167,Environmental Protection,8
Il faut abroger la liste des animaux soit disant nuisibles.,Ju,42.0,,314,0.581,0.283,0.137,Environmental Protection,8
"Il faut limiter la reproduction humaine, principale cause de la destruction de la biodiversité.",Magdalena,,,315,0.402,0.385,0.214,Citizen Engagement and Education,3
"Il faut réglementer davantage la chasse au gibier d&apos;eau, qui autorise de chasser de nombreuses espèces vulnérables et en déclin.",Paul,60.0,,324,0.578,0.315,0.106,Animal Welfare,0
Il faut limiter la vitesse sur autoroute à 110 kms/h cela réduit la consommation de 17 à 20% et donc réduit l&apos;impact carbone,Michel,65.0,2.0,310,0.45,0.375,0.175,Sustainable Transportation,15
"Il faut réduire l&apos;utilisation des machines en réapprenant à collaborer avec les animaux de travail : chevaux, ânes, boeufs...",PALMAR,42.0,13.0,306,0.439,0.382,0.179,Environmental Protection,8
Il faut professionnaliser la chasse dans les secteurs où les dégâts de gibiers sont conséquents et innover sur des systèmes de piégeage.,Emilien,42.0,,316,0.402,0.44,0.157,Biomass and Forest Management,2
"Il faut réduire drastiquement viande, poisson, tous produits issus des animaux, sources de grandes pollutions et de destruction de la nature",Noemie,39.0,,312,0.469,0.376,0.155,Animal Welfare,0
Il faut arrêter la chasse pendant 5 ans minimum.,Lucas,13.0,77.0,301,0.433,0.34,0.226,Environmental Protection,8
Il faut interdire les corridas inutiles et cruelles qui tuent des taureaux en bonne santé qui ont un rôle dans l’environnement,Patricia,64.0,31.0,319,0.532,0.305,0.163,Environmental Protection,8
Il faut stopper la pêche sous toutes ses formes et laisser tranquille la vie marine.,Sarah,20.0,,312,0.357,0.46,0.183,Conservation of Biodiversity,5
Il faut n’autoriser la chasse qu’aux abords des cultures et laisser les animaux sauvages vivre en toute quiétude au cœur des forêts.,regis,,,315,0.45,0.354,0.196,Animal Welfare,0
Il faut réduire la vitesse à 50km avec interdiction de dépasser sur toutes routes qui traversent un couloir de faune répertorié,Valérie,62.0,1.0,304,0.429,0.363,0.208,Sustainable Transportation,15
Il faut que les particuliers soient obligés d&apos;avoir dans leur jardin un nombre d&apos;arbres plantés/m2 et laisser des espaces non tondus à ras,Maxime,36.0,14.0,302,0.423,0.374,0.204,Biomass and Forest Management,2
"Il faut une écologie rationnelle basée sur la science et favorisant le développement de nouvelles technologies (OGM, nucléaire, hydrogène…)",Baptiste,36.0,,316,0.414,0.373,0.213,Renewable Energy and Sustainable Development,13
"Il faut faire des campagnes pour valoriser une alimentation moins carnée, grande consommatrice d&apos;eau et d&apos;apauvrissement des sols.",Isabelle,62.0,60.0,310,0.509,0.358,0.133,Environmental Protection,8
"Il faut interdire aux agriculteurs de puiser dans les puits et rivières l&apos;eau, pour mieux contrôler les abus (canon à eau en canicule)",Amélie,41.0,,306,0.453,0.37,0.177,Water Conservation,19
Il faut organiser des journées ou demi-journées sans voiture,Caroline,,,304,0.389,0.404,0.208,Sustainable Transportation,15
Il faut trouver des solutions pour limiter la population humaine à 2 milliard d&apos;individus (maximum atteint),Yann,,,302,0.39,0.375,0.235,Environmental Protection,8
"Il faut laisser faire la nature, elle se régule souvent seule sans aide de l’homme.",Blandine,47.0,5.0,303,0.378,0.468,0.154,Environmental Protection,8
Il faut diminuer les coûts des chasseurs et attirer plus de jeunes. Communiquer et montrer aux gens l&apos;importance et le de cette pratique.,Pierre,33.0,,361,0.333,0.546,0.12,Animal Welfare,0
"Il faut éviter de paniquer, la France c&apos;est plus de 30 % de forêt",Michel,65.0,2.0,309,0.385,0.417,0.198,Biomass and Forest Management,2
Il faut privilégier l&apos;alimentation végétale,Florence,58.0,78.0,311,0.483,0.338,0.179,Sustainable Agriculture,14
Il faut faire une demande d&apos;autorisation de chasser sur sa propriété et non un accord de plein droit comme ça l&apos;est aujourd&apos;hui ave les ACCA,marie,53.0,,349,0.591,0.317,0.092,Habitat Preservation,9
"Il faut réintroduire des super-prédateurs aériens (aigles, faucons) pour limiter la prolifération des corvidés",Thomas,32.0,,322,0.422,0.341,0.237,Animal Welfare,0
Il faut réduire le temps de travail pour que les gens aient la possibilité de prendre mieux soin de l&apos;environnement (bénévolat etc),PALMAR,42.0,13.0,312,0.45,0.365,0.185,Citizen Engagement and Education,3
"Il faut restaurer les forêts et points d’eau, les rivière et lac, et interdire la chasse et la pêche afin que les animaux vivent en paix",Nathalie,42.0,,312,0.574,0.291,0.135,Environmental Protection,8
"Il faut que dans chaque jardin ou balcon de France, le citoyen soit obligé d&apos;installer un nichoir ou une mangeoire pour attirer les oiseaux.",Karl,59.0,,306,0.399,0.353,0.248,Animal Welfare,0
Il faut arrêter la chasse sauf sur des conseils de scientifiques,Roger,72.0,,315,0.521,0.299,0.18,Animal Welfare,0
Il faut améliorer (gustativement) et promouvoir la cuisine vegan pour encourager la baisse de consommation de viande et l&apos;élevage intensif,PALMAR,42.0,13.0,305,0.424,0.375,0.201,Environmental Protection,8
Il faut imposer un ministère de la condition animale,Lantana75,63.0,,308,0.461,0.311,0.227,Animal Welfare,0
"Il faut mettre fin aux dérogations ""espèces protégées"" dans les politiques d&apos;aménagement du territoire.",Raphael,51.0,,324,0.478,0.334,0.188,Protected Areas and Nature Reserves,12
Il faut laisser la nature s&apos;autoréguler en intervenant le moins possible,Christian,66.0,30.0,308,0.559,0.32,0.121,Ecosystem Restoration,6
Il faut taxer les individuels sur leur empreinte carbone supérieure à 2TCO2/an/habitant,Alexandra,38.0,,303,0.396,0.358,0.246,Environmental Protection,8
"Il faut taxer la chasse pour réguler et utiliser cet argent pour la gestion. Les forestiers, trop peux nombreux doivent gérer et protéger",Yves,68.0,39.0,309,0.493,0.343,0.164,Environmental Protection,8
"Il faut laisser les grands prédateurs vivre (loups, ours et lynx), ils se réguleront en fonction du nombre de proies",Jean Louis,,,344,0.592,0.3,0.109,Animal Welfare,0
"Il faut laisser les chasseurs tranquilles, ils sont sur leur terrain",Philippe,56.0,82.0,348,0.327,0.567,0.106,Environmental Protection,8
Il faut promouvoir le végétarisme.,Edwige,23.0,62.0,309,0.367,0.446,0.187,Environmental Protection,8
"Il faut facturer l&apos;eau et les énergies au prorata des revenus, fortunes et patrimoines : plus on est riche plus on paie cher sa consommation",PALMAR,42.0,13.0,306,0.355,0.447,0.198,Climate Change Mitigation,4
"Il faut arrêter les piscines privées, loisir consumériste nuisant à la biodiversité en temps de sécheresse caniculaire.",Godzilla,31.0,,306,0.437,0.35,0.213,Conservation of Biodiversity,5
Il faut limiter le nombre d&apos;animaux domestiques par foyer car ils peuvent avoir un impact sur la biodiversité. Ex les chats avec les oiseaux,Nathalie,49.0,,306,0.423,0.368,0.21,Animal Welfare,0
Il faut mieux régler le loup afin de ne pas décourager les éleveurs,Michel,65.0,2.0,345,0.358,0.477,0.166,Animal Welfare,0
Il faut mettre en place plus de Reserves Integrales sur tout le territoire. Interdiction de pénétrer sur ces territoires de 1000 ha minimum,Rodolophe,,,308,0.516,0.318,0.166,Protected Areas and Nature Reserves,12
Il faut instaurer des cours de chasse et pêche à l&apos;école pour développer le sens de l&apos;écologie,Bruno,48.0,63.0,360,0.335,0.492,0.173,Environmental Protection,8
Il faut promouvoir les régimes végétariens et végétaliens dans tous les médias et interdire la publicité pour la viande,Lantana75,63.0,,304,0.323,0.489,0.188,Sustainable Agriculture,14
Il faut interdire l’abattage des arbres de plus de 80 ans.,Math,26.0,,306,0.481,0.301,0.218,Biomass and Forest Management,2
Il faut créer une forêt primaire en France ( lieu sacro saint dans lesquels les humains ne peuvent pas pénétrer),Cyril,,,308,0.492,0.338,0.17,Environmental Protection,8
Il faut promouvoir les produits végans et bio en les détaxant pour qu&apos;ils soient accessibles à tous.,Caroline,,,306,0.507,0.312,0.18,Sustainable Agriculture,14
Il faut supprimer les routes les moins utiles pour reconstituer les territoires fragmentés des espèces.,mireille,54.0,,312,0.354,0.351,0.295,Sustainable Transportation,15
"Il faut interdire de couper les arbres et les haies autant chez les agriculteurs que chez les particuliers, les communes ...",marie,53.0,,307,0.555,0.329,0.116,Biomass and Forest Management,2
Il faut redonner aux mondes ruraux la priorité dans le choix de gestion du paysage et des espaces naturels face aux urbains ecolos,Remi,35.0,86.0,312,0.424,0.338,0.238,Urban Planning and Green Spaces,16
Il faut interdire la corrida en France.,Clarisse,44.0,,310,0.561,0.295,0.144,Animal Welfare,0
Il faut créer de grands espaces protégés sans action aucune de l&apos;être humain.,Raven,59.0,92.0,314,0.583,0.301,0.116,Protected Areas and Nature Reserves,12
Il faut interdire les piscines individuelles d&apos;agrément,PALMAR,42.0,13.0,304,0.349,0.348,0.303,Water Conservation,19
Il faut réserver un pourcentage du territoire national interdit à l&apos;activité humaine et inacessible (sauf sécurité). Je propose 20%.,François,68.0,92.0,300,0.514,0.322,0.164,Environmental Protection,8
Il faut interdire la chasse aux - de 21 ans,isabelle,59.0,,322,0.531,0.301,0.168,Animal Welfare,0
"Il faut en finir avec l’automobile, la cigarette, les plastiques. Pourquoi attendre ? une mesure radicale et irréversible s’impose.",philippe,53.0,6.0,302,0.378,0.372,0.25,Environmental Protection,8
Il faut développer le commerce de végétaux au lieu de la viande dans tous les magasins et supermarché pour faire prendre conscience aux gens,Patricia,64.0,31.0,308,0.38,0.399,0.221,Environmental Protection,8
"Il faut que le prix du m2 de terrain sauvage (prairie, friche, zone humide, boisement...) devienne bien supérieur au prix du m2 à construire",Yann,,,301,0.354,0.339,0.307,Environmental Protection,8
"Il faut un temps d&apos;autorisation de clim/chauffage limité selon le froid ou la chaleur, dans les voitures et logements.",Lee,28.0,,300,0.366,0.371,0.263,Environmental Protection,8
"Il faut inciter d&apos;avantage au fauchage manuel quand c&apos;est possible, revenir à la faux et réduire la mécanisation des fauches.",Athena,,,306,0.378,0.395,0.227,Biomass and Forest Management,2
Il faut organiser un réseau de méga bassine pour capter les eaux des inondations et préserver les sols de l&apos;asphyxie et de l&apos;érosion,Victor,22.0,36.0,306,0.399,0.368,0.233,Environmental Protection,8
Il faut à tout prix maintenir la chasse. Elle permet de conserver l&apos;équilibre entre les espèces et celles-ci avec leur milieux,François,63.0,,346,0.327,0.512,0.161,Animal Welfare,0
Il faut interdire l&apos;agrainage pour les chasseurs.,lou,38.0,56.0,313,0.532,0.301,0.167,Animal Welfare,0
Il faut diminuer la consommation de viande qui est la 1ere cause d’expression des exploitations céréalières qui détruisent les écosystèmes.,Adrien,25.0,53.0,302,0.577,0.287,0.136,Animal Welfare,0
Il faut interdire les grèves sncf pour encourager les usagers et les transporteurs à prendre le train.,Michel,65.0,2.0,307,0.345,0.41,0.245,Sustainable Transportation,15
"Il faut laisser la chasse et la pêche libre comme cela était le cas il y a 25 ans, l&apos;Europe n&apos;a pas à s&apos;occuper de cela.",Yohanan Clément,68.0,,349,0.342,0.571,0.087,Environmental Protection,8
"Il faut contrôler le taux de naissance: moins de gens, moins de production, moins de gâchi, moins de pollution, plus d&apos;espace pour la nature",Marie,22.0,,311,0.337,0.448,0.214,Environmental Protection,8
Il faut un ministère de la cause animale car il y a beaucoup de sujets qui sont à la traîne en France,christine,62.0,,312,0.481,0.303,0.217,Animal Welfare,0
Il faut autoriser les éleveurs à défendre leurs troupeaux face au loup,Benjamin,,,337,0.344,0.414,0.241,Animal Welfare,0
"Il faut plus de contrôle de tous les citoyens pour vérifier s&apos;ils sont respectueux de l&apos;environnement, de la nature, de tous les animaux.",Suzanne,72.0,,308,0.463,0.325,0.212,Citizen Engagement and Education,3
Il faut annuler les aides et avantages pour les familles nombreuses qui incitent à avoir 3 enfants minimum. Inciter à en avoir 2 max.,Amélie,41.0,,303,0.458,0.319,0.223,Environmental Protection,8
Il faut que les prix de permis de chasse augmentent en fonction des revenus de chasseurs de manière à limiter la chasse comme loisir.,Stephen,59.0,37.0,303,0.508,0.3,0.192,Animal Welfare,0
Il faut interdire la chasse dans tous les pays des animaux sauvages aux particuliers. Les animaux ne sont pas des trophées.,Adeline,26.0,68.0,302,0.552,0.303,0.145,Animal Welfare,0
Il faut autoriser un seul vol touristique par habitant en deux ans,sylvie,,,306,0.365,0.422,0.213,Ecotourism and Responsible Travel,7
Il faut laisser les français tranquilles et aller dire aux Chinois de moins polluer,Stephane,,,320,0.327,0.462,0.211,Climate Change Mitigation,4
"Il faut abolir la chasse pour toujours: tuer n&apos;est pas un loisir, c&apos;est un crime.",Mr Clare&apos;s poetry club for the lonely souls,51.0,,303,0.47,0.292,0.238,Animal Welfare,0
Il faut interdire aux propriétaires de maison individuelle (sur petit terrain) de bétonner ou goudronner le tour de leurs maisons.,Laetitia,36.0,,311,0.46,0.349,0.19,Urban Planning and Green Spaces,16
"Il faut que le monde de la chasse soit mieux valorisé pour ces actions de terrains, biodiversité, social rural, gestion de la faune",Remi,35.0,86.0,332,0.358,0.477,0.165,Environmental Protection,8
"Il faut, par des programmes scolaires, mettre en garde la jeunesse sur la dangerosité des mouvements Vegans et Animalistes.",Lenga,,,323,0.322,0.494,0.184,Animal Welfare,0
